geo_altitude,baro_altitude,altitude_diff
12321.54,11582.4,739.1400000000012
11719.56,10980.42,739.1399999999994
12633.96,11894.82,739.1399999999994
11407.14,10668.0,739.1399999999994
12016.74,11277.6,739.1399999999994
12626.34,11887.2,739.1399999999994
12931.14,12192.0,739.1399999999994
12329.16,11590.02,739.1399999999994
12626.34,11887.2,739.1399999999994
11102.34,10363.2,739.1399999999994
12016.74,11277.6,739.1399999999994
12306.3,11567.16,739.1399999999994
11391.9,10652.76,739.1399999999994
13228.32,12496.8,731.5200000000004
12009.12,11277.6,731.5200000000004
12321.54,11590.02,731.5200000000004
11711.94,10980.42,731.5200000000004
13837.92,13106.4,731.5200000000004
12923.52,12192.0,731.5200000000004
12009.12,11277.6,731.5200000000004
11399.52,10668.0,731.5200000000004
12923.52,12192.0,731.5200000000004
12313.92,11582.4,731.5200000000004
10485.12,9753.6,731.5200000000004
11711.94,10980.42,731.5200000000004
11399.52,10668.0,731.5200000000004
12016.74,11285.22,731.5200000000004
11399.52,10668.0,731.5200000000004
11430.0,10698.48,731.5200000000004
12009.12,11277.6,731.5200000000004
11704.32,10972.8,731.5200000000004
11704.32,10972.8,731.5200000000004
11399.52,10668.0,731.5200000000004
11087.1,10355.58,731.5200000000004
12009.12,11277.6,731.5200000000004
11704.32,10972.8,731.5200000000004
11704.32,10972.8,731.5200000000004
12923.52,12192.0,731.5200000000004
13228.32,12496.8,731.5200000000004
11696.7,10965.18,731.5200000000004
11696.7,10965.18,731.5200000000004
12313.92,11582.4,731.5200000000004
11407.14,10675.62,731.5199999999986
11094.72,10363.2,731.5199999999986
11094.72,10363.2,731.5199999999986
12618.72,11887.2,731.5199999999986
11094.72,10363.2,731.5199999999986
12908.28,12184.38,723.9000000000015
13098.78,12374.88,723.9000000000015
11696.7,10972.8,723.9000000000015
11696.7,10972.8,723.9000000000015
11696.7,10972.8,723.9000000000015
12009.12,11285.22,723.9000000000015
11887.2,11163.3,723.9000000000015
11315.7,10591.8,723.9000000000015
11521.44,10797.54,723.8999999999996
11704.32,10980.42,723.8999999999996
11117.58,10393.68,723.8999999999996
12306.3,11582.4,723.8999999999996
11087.1,10363.2,723.8999999999996
12313.92,11590.02,723.8999999999996
11681.46,10957.56,723.8999999999996
12611.1,11887.2,723.8999999999996
10180.32,9456.42,723.8999999999996
12915.9,12192.0,723.8999999999996
11391.9,10668.0,723.8999999999996
11300.46,10576.56,723.8999999999996
11094.72,10370.82,723.8999999999996
11087.1,10363.2,723.8999999999996
12306.3,11582.4,723.8999999999996
12306.3,11582.4,723.8999999999996
11391.9,10668.0,723.8999999999996
11704.32,10980.42,723.8999999999996
10873.74,10149.84,723.8999999999996
11087.1,10363.2,723.8999999999996
11087.1,10363.2,723.8999999999996
11993.88,11269.98,723.8999999999996
11704.32,10980.42,723.8999999999996
10683.24,9959.34,723.8999999999996
12298.68,11574.78,723.8999999999996
11430.0,10706.1,723.8999999999996
12611.1,11887.2,723.8999999999996
11689.08,10972.8,716.2800000000007
9593.58,8877.3,716.2800000000007
11696.7,10980.42,716.2800000000007
12298.68,11582.4,716.2800000000007
12298.68,11582.4,716.2800000000007
11384.28,10668.0,716.2800000000007
11384.28,10668.0,716.2800000000007
12298.68,11582.4,716.2800000000007
9715.5,8999.22,716.2800000000007
10774.68,10058.4,716.2800000000007
12595.86,11879.58,716.2800000000007
12298.68,11582.4,716.2800000000007
12298.68,11582.4,716.2800000000007
12900.66,12184.38,716.2800000000007
11262.36,10546.08,716.2800000000007
11071.86,10355.58,716.2800000000007
12908.28,12192.0,716.2800000000007
11330.94,10614.66,716.2800000000007
12908.28,12192.0,716.2800000000007
11384.28,10668.0,716.2800000000007
11689.08,10972.8,716.2800000000007
11689.08,10972.8,716.2800000000007
11986.26,11269.98,716.2800000000007
11079.48,10363.2,716.2799999999988
11079.48,10363.2,716.2799999999988
12291.06,11574.78,716.2799999999988
11993.88,11277.6,716.2799999999988
11993.88,11277.6,716.2799999999988
11079.48,10363.2,716.2799999999988
11993.88,11277.6,716.2799999999988
11993.88,11277.6,716.2799999999988
11978.64,11262.36,716.2799999999988
11079.48,10363.2,716.2799999999988
11993.88,11277.6,716.2799999999988
11079.48,10363.2,716.2799999999988
11079.48,10363.2,716.2799999999988
11369.04,10660.38,708.6600000000017
11376.66,10668.0,708.6599999999999
11689.08,10980.42,708.6599999999999
13205.46,12496.8,708.6599999999999
12900.66,12192.0,708.6599999999999
11689.08,10980.42,708.6599999999999
11376.66,10668.0,708.6599999999999
11071.86,10363.2,708.6599999999999
12946.38,12237.72,708.6599999999999
11689.08,10980.42,708.6599999999999
11376.66,10668.0,708.6599999999999
12900.66,12192.0,708.6599999999999
11071.86,10363.2,708.6599999999999
11071.86,10363.2,708.6599999999999
13205.46,12496.8,708.6599999999999
12001.5,11292.84,708.6599999999999
12283.44,11574.78,708.6599999999999
11681.46,10972.8,708.6599999999999
11681.46,10972.8,708.6599999999999
11071.86,10363.2,708.6599999999999
12291.06,11582.4,708.6599999999999
12291.06,11582.4,708.6599999999999
11986.26,11277.6,708.6599999999999
12298.68,11590.02,708.6599999999999
12291.06,11582.4,708.6599999999999
12291.06,11582.4,708.6599999999999
11986.26,11277.6,708.6599999999999
12298.68,11590.02,708.6599999999999
12595.86,11887.2,708.6599999999999
12306.3,11597.64,708.6599999999999
11681.46,10972.8,708.6599999999999
13815.06,13106.4,708.6599999999999
12595.86,11887.2,708.6599999999999
11681.46,10972.8,708.6599999999999
10767.06,10058.4,708.6599999999999
