callsign,velocity,baro_altitude,geo_altitude
TAP16AL ,229.06,11277.6,11971.02
KAL458  ,229.05,11277.6,12024.36
TSC376  ,229.04,10652.76,11087.1
LOT2XH  ,229.04,10972.8,11315.7
RYR3369 ,229.03,8717.28,9090.66
TAP823  ,229.03,10835.64,11338.56
LBT733  ,229.01,10675.62,11239.5
CFG2087 ,229.0,11887.2,12275.82
JJP409  ,228.98,11582.4,12344.4
AFL1505 ,228.96,10980.42,10988.04
SAS7525 ,228.96,10972.8,11414.76
AAL1020 ,228.94,10972.8,11658.6
FDX1705 ,228.93,10957.56,11681.46
TVF16UB ,228.92,11582.4,12260.58
ITY159  ,228.92,11887.2,12374.88
CAI37BV ,228.92,11574.78,12039.6
TVF56FP ,228.91,11887.2,12214.86
UAL2312 ,228.91,11277.6,11902.44
PGT1149 ,228.89,10972.8,11361.42
JIA5540 ,228.89,7170.42,7589.52
ENY3992 ,228.87,9753.6,10332.72
AFR22VX ,228.87,6637.02,6957.06
RAM774L ,228.86,10363.2,10919.46
LCO1512 ,228.86,10668.0,11170.92
FLI453  ,228.86,8442.96,8740.14
DAL2429 ,228.86,10363.2,10988.04
TVS4104 ,228.83,11285.22,11917.68
JNA091  ,228.81,10972.8,11673.84
AIC2501 ,228.81,10607.04,11308.08
EWG63G  ,228.81,8839.2,9235.44
BAW541A ,228.81,10980.42,11445.24
MSR995  ,228.78,7825.74,8221.98
MEA425  ,228.75,8999.22,9715.5
RYR98TP ,228.75,11277.6,11658.6
AUA468  ,228.74,11277.6,11727.18
IBE06LT ,228.74,6743.7,7078.98
NOZ1935 ,228.74,11582.4,12001.5
TOM22M  ,228.73,8260.08,8625.84
RYR608L ,228.73,10363.2,10683.24
AMU176  ,228.72,7193.28,7680.96
UPS918  ,228.71,11590.02,12298.68
ABY369  ,228.68,11277.6,12146.28
THY9XY  ,228.67,10363.2,10698.48
TJD403  ,228.65,9144.0,9608.82
ASL43Z  ,228.63,10066.02,10507.98
AAL154  ,228.6,10668.0,11010.9
NSZ3LE  ,228.6,11277.6,11719.56
FIA548  ,228.6,11277.6,11711.94
DAL2872 ,228.57,11087.1,11765.28
RYR90SV ,228.54,11277.6,11757.66
GJS4618 ,228.53,9494.52,10073.64
TOM55L  ,228.53,6758.94,7147.56
MAS4    ,228.52,12192.0,12984.48
TAI521  ,228.52,10652.76,11338.56
MSR751  ,228.51,6431.28,6888.48
N308MR  ,228.51,13106.4,13837.92
SXS9VU  ,228.5,11277.6,11742.42
SVA229  ,228.48,12192.0,12763.5
SXS1EE  ,228.46,11582.4,11955.78
EZY67MR ,228.46,11887.2,12336.78
PJC4    ,228.46,11582.4,12298.68
SAS4717 ,228.46,11887.2,12344.4
WUK886  ,228.46,10972.8,11323.32
RYS7278 ,228.46,10972.8,11361.42
SXS5RY  ,228.45,10972.8,11300.46
DAL150  ,228.42,6987.54,7406.64
RYR53XB ,228.42,11277.6,11750.04
DAL2734 ,228.42,11582.4,12291.06
AYN7993 ,228.37,8633.46,8991.6
THY71A  ,228.34,10363.2,10690.86
FHY8014 ,228.33,10972.8,11460.48
SKW3555 ,228.3,7947.66,8442.96
FFT4817 ,228.3,11582.4,12283.44
SWA3246 ,228.29,12192.0,12900.66
FDA518  ,228.27,10363.2,11094.72
AEA92BH ,228.26,11277.6,11666.22
RUK74KW ,228.25,11582.4,12039.6
ASA172  ,228.24,10668.0,11087.1
RSJ9677 ,228.23,7437.12,7513.32
DAL203  ,228.22,10972.8,11353.8
RYR67LR ,228.22,8839.2,9197.34
ATN3320 ,228.21,10668.0,11262.36
MSR914  ,228.21,11277.6,12131.04
SNJ19   ,228.19,12192.0,12992.1
EWG72A  ,228.18,10972.8,11330.94
HVN7055 ,228.18,8526.78,9105.9
HKE626  ,228.17,10576.56,11300.46
AUA33L  ,228.15,10972.8,11422.38
DAL297  ,228.15,10972.8,11338.56
EJU32JB ,228.15,10980.42,11414.76
JBU1678 ,228.15,8564.88,9083.04
JNA131  ,228.13,6301.74,6720.84
TCGVB   ,228.1,6050.28,6301.74
VKG1129 ,228.09,10363.2,10713.72
FDX4678 ,228.09,12184.38,13030.2
EIN45N  ,228.05,10972.8,11475.72
DLH2690 ,228.01,11582.4,12024.36
CES764  ,228.0,11917.68,12740.64
ROT382A ,228.0,10622.28,11064.24
HRT738  ,227.97,8168.64,8595.36
IGO381  ,227.97,10088.88,10683.24
THY95KL ,227.97,10363.2,10668.0
BAW470  ,227.96,10668.0,11117.58
RYR89JQ ,227.95,11277.6,11574.78
UPS946  ,227.95,10980.42,11643.36
AFR69AR ,227.94,10363.2,10782.3
FFT2111 ,227.93,8587.74,9105.9
RPA3684 ,227.92,10668.0,11308.08
TKJ9CL  ,227.9,9182.1,9578.34
UAE17K  ,227.9,10972.8,11658.6
SNJ79   ,227.9,7757.16,8321.04
AVA112  ,227.9,11582.4,12275.82
GTI8618 ,227.89,9372.6,9928.86
EZY75LM ,227.89,10972.8,11452.86
JAF3BL  ,227.87,11582.4,11986.26
FIN85B  ,227.87,10668.0,11041.38
TUI18V  ,227.86,11582.4,12024.36
ICE430  ,227.86,10523.22,10934.7
UAL983  ,227.86,10965.18,11422.38
RYR313B ,227.84,11277.6,11590.02
AIC433  ,227.79,10058.4,10736.58
DAL10   ,227.78,11887.2,12268.2
SWA403  ,227.78,11262.36,11978.64
BEL6QG  ,227.78,11567.16,12001.5
RPA3703 ,227.76,8534.4,8923.02
BEL75Y  ,227.75,11590.02,12062.46
UPS954  ,227.75,7185.66,7574.28
EJU95MD ,227.75,10668.0,11178.54
MSR847  ,227.75,11582.4,12283.44
RYR71UM ,227.74,10972.8,11407.14
GIA616  ,227.74,10668.0,11369.04
SBI5065 ,227.72,10972.8,11003.28
SXS4KM  ,227.71,11582.4,11940.54
RJA143  ,227.71,10972.8,11559.54
IBS1523 ,227.69,10660.38,11285.22
NOZ8NE  ,227.67,7734.3,8077.2
THY8UG  ,227.66,6873.24,7200.9
CGJEI   ,227.66,13106.4,13601.7
Unknown,227.65,10698.48,11407.14
IBE09LA ,227.63,10058.4,10546.08
QFA7313 ,227.63,7932.42,8168.64
TVF37VF ,227.63,11582.4,12054.84
THY4QR  ,227.63,9761.22,10096.5
EWG6L   ,227.63,10363.2,10690.86
CEB789  ,227.59,11277.6,12108.18
CAI917  ,227.59,10668.0,11254.74
KLM60Z  ,227.58,9753.6,10149.84
EJU5006 ,227.56,11574.78,11986.26
BAW3HK  ,227.56,10957.56,11414.76
EZY12RN ,227.55,7802.88,8130.54
GAF195  ,227.55,9441.18,9860.28
TVF63LT ,227.55,7818.12,8214.36
TAP86GM ,227.55,10675.62,11209.02
RYR4NX  ,227.54,10668.0,11109.96
NSZ5141 ,227.54,11887.2,12344.4
LHX4AR  ,227.54,11887.2,12321.54
ENY4094 ,227.54,7764.78,8244.84
TVS23C  ,227.54,9410.7,9753.6
AZU4651 ,227.5,11887.2,12573.0
NKS626  ,227.47,10256.52,10896.6
THY5ZX  ,227.43,9570.72,9974.58
SEU6248 ,227.43,6713.22,6949.44
ENT52LY ,227.42,11277.6,11894.82
TRA16H  ,227.42,10668.0,11125.2
ABY834  ,227.38,11277.6,12138.66
EJU37PE ,227.37,11590.02,12070.08
EDV5088 ,227.35,8534.4,9067.8
THY1YU  ,227.35,11277.6,12070.08
SWA1249 ,227.34,12192.0,12900.66
FHY8202 ,227.33,10972.8,11353.8
NOZ8UD  ,227.33,10972.8,11414.76
DAL2601 ,227.31,9753.6,10363.2
JBU504  ,227.31,10058.4,10683.24
EIN3GM  ,227.31,10980.42,11414.76
AEE539  ,227.29,11285.22,11750.04
UAL224  ,227.27,8397.24,8892.54
TAP8RT  ,227.27,10668.0,11178.54
ELY5467 ,227.22,10972.8,11483.34
FDX1417 ,227.21,10980.42,11689.08
SKX5360 ,227.19,11285.22,11978.64
JBU109  ,227.15,8625.84,9090.66
THY273  ,227.15,5669.28,5920.74
NSZ56J  ,227.09,11277.6,11689.08
RPA4675 ,227.08,10058.4,10675.62
EZY59GD ,227.08,11277.6,11940.54
AEA35WQ ,227.07,11277.6,11932.92
MGH548  ,227.05,11277.6,11902.44
RYR36YA ,227.04,10363.2,10652.76
THY7GS  ,227.03,9753.6,10149.84
DLH758  ,227.01,10058.4,10401.3
ICE14T  ,227.01,7871.46,8214.36
IGO6753 ,227.01,9151.62,9669.78
AXM5310 ,227.0,10058.4,10728.96
AAL3274 ,227.0,10668.0,11323.32
EWG83L  ,226.99,9334.5,9768.84
