icao24,callsign,velocity,baro_altitude,geo_altitude,vertical_rate
abb8ea,SWA397  ,217.11,7452.36,7886.7,7.15
acc1ee,AAL629  ,239.44,10988.04,11635.74,7.15
4400eb,EJU67VX ,215.74,8923.02,9364.98,7.15
4ca216,EIN5TJ  ,208.02,7078.98,7383.78,7.15
acbbfb,N92BS   ,223.14,12108.18,12778.74,7.15
a73199,N5626Y  ,100.23,4564.38,4831.08,7.15
4ca7b6,RYR4YK  ,225.3,9151.62,9517.38,7.15
4acb23,NOZ2MA  ,218.06,8183.88,8382.0,7.15
73934f,4XCZB   ,165.19,8328.66,8694.42,7.15
addb4a,AAL1252 ,240.86,10416.54,11049.0,7.15
7c6d8f,QFA891  ,230.05,8039.1,8138.16,7.15
8960ef,UAE417  ,93.85,-68.58,99.06,7.15
4ca73d,RYR51RT ,237.39,9311.64,9669.78,7.15
4c808c,BBG694  ,185.81,4381.5,4632.96,7.15
acc955,CNS241  ,91.23,2484.12,2598.42,7.15
4601f9,FIN5PA  ,106.49,4023.36,4023.36,6.83
aa7e99,UAL2128 ,236.63,11201.4,11864.34,6.83
4baa0c,THY50W  ,234.18,6804.66,7124.7,6.83
406e9f,EXS28YD ,187.84,3444.24,3703.32,6.83
4ca301,RYR5HM  ,106.78,525.78,601.98,6.83
ac508b,DAL1641 ,212.38,6621.78,6979.92,6.83
440117,EJU62NY ,193.43,6621.78,7063.74,6.83
3c65ae,DLH452  ,90.62,723.9,800.1,6.83
407862,EXS24L  ,134.27,1043.94,1112.52,6.83
4864ef,KLM74E  ,234.35,9304.02,9296.4,6.83
888125,VJC5531 ,215.45,6789.42,7162.8,6.83
348208,VLG15VJ ,250.16,7940.04,8465.82,6.83
801432,IGO805M ,190.17,6042.66,6278.88,6.83
4d0280,JFA19Q  ,85.95,2827.02,2979.42,6.83
a53436,RPA4564 ,195.94,6286.5,6675.12,6.83
86d5e5,APJ582  ,234.65,8580.12,9113.52,6.83
750288,AXM892  ,178.61,5821.68,6156.96,6.83
8a00a6,LNI542  ,221.37,8694.42,9258.3,6.83
3443d4,VLG8JV  ,213.34,5638.8,5920.74,6.83
4ba8d9,TKJ5DG  ,207.75,9326.88,9791.7,6.83
a72f22,JBU927  ,245.99,9380.22,9951.72,6.83
896489,ETD19N  ,235.74,6995.16,7406.64,6.83
ac2d09,DAL1118 ,231.37,10287.0,10904.22,6.83
adf4e9,JBU1929 ,195.07,6172.2,6477.0,6.83
4bce0e,SXS7WH  ,223.2,10332.72,10828.02,6.83
4d2392,EWG42N  ,193.98,3954.78,4168.14,6.83
86d668,TZP2    ,260.91,8968.74,9578.34,6.83
a6c013,JBU1911 ,235.36,9867.9,10477.5,6.83
4bb066,THY640  ,232.47,7543.8,7985.76,6.83
896643,FDB948  ,205.78,6827.52,7292.34,6.83
48e81b,AMQ7A   ,255.39,8526.78,8976.36,6.83
a88d62,ABX588  ,254.51,10012.68,10622.28,6.83
394c14,AFR58XB ,87.75,822.96,906.78,6.83
8966a6,ETD414  ,206.9,6774.18,7193.28,6.83
3964ec,TVF67NZ ,226.71,8458.2,8839.2,6.83
4d2232,RYR15DB ,239.58,10111.74,10561.32,6.83
44065b,AUA432D ,241.8,8503.92,8968.74,6.5
a4841a,N390PM  ,85.0,502.92,556.26,6.5
71c363,TWB246  ,236.74,8511.54,9075.42,6.5
4bb273,Unknown,92.18,9105.9,9601.2,6.5
4854c7,TRA53W  ,231.05,10523.22,10927.08,6.5
a32044,N300KS  ,175.88,7239.0,7642.86,6.5
aaf485,AAL2253 ,167.83,3429.0,3581.4,6.5
34554d,ECCZO   ,49.52,1051.56,1104.9,6.5
502d7a,DLH79H  ,96.0,1409.7,1516.38,6.5
44014a,EJU14UW ,152.02,3185.16,3406.14,6.5
4caaa8,ITY1196 ,218.61,8641.08,9083.04,6.5
883294,TLM932  ,174.52,3749.04,3931.92,6.5
780170,CPA595  ,238.78,8305.8,8823.96,6.5
4cc549,ICE695  ,191.19,6202.68,6530.34,6.5
c07996,TSC435  ,224.43,7139.94,7513.32,6.5
706213,JZR612  ,207.53,7178.04,7650.48,6.5
899070,UIA8835 ,207.88,5227.32,5577.84,6.5
4b180b,SWR8EM  ,233.79,8709.66,9121.14,6.5
a369be,ENY4194 ,215.04,9563.1,10172.7,6.5
a3b4b5,DAL2898 ,229.4,7719.06,8122.92,6.5
4d2080,RYR961N ,253.92,8763.0,9151.62,6.5
c00e5c,FLE791  ,223.57,9966.96,10492.74,6.5
a44169,UAL2266 ,231.88,10203.18,10820.4,6.5
800cba,AIC2853 ,207.22,7002.78,7322.82,6.5
70c13e,OMS337  ,232.65,7665.72,8130.54,6.5
39e68c,AFR13PW ,194.7,7536.18,7886.7,6.5
342398,VLG4QY  ,194.48,6697.98,7086.6,6.5
39bdb2,AFR84MT ,242.16,10111.74,10431.78,6.5
e47ffe,TAM8032 ,199.2,6720.84,7071.36,6.5
a336df,AAL1195 ,206.12,8572.5,9022.08,6.5
aac33e,AVA086  ,216.74,8237.22,8694.42,6.5
846516,ANA569  ,239.3,8915.4,9555.48,6.5
4070e6,EXS1PF  ,118.47,662.94,739.14,6.5
c06de5,PVL2585 ,119.46,4655.82,4800.6,6.5
4b1619,SWR336L ,229.46,6454.14,6804.66,6.5
8963b7,FDB5TC  ,134.63,1737.36,1706.88,6.5
a76154,DAL393  ,209.4,5600.7,5935.98,6.5
4ba9cb,THY5XT  ,244.95,9349.74,9806.94,6.5
aabf80,AAL721  ,219.38,6949.44,7338.06,6.5
70e084,NIA191  ,214.69,7216.14,7734.3,6.5
02a1a7,LBT542  ,235.08,9243.06,9761.22,6.5
abb9b2,SWA2565 ,243.43,9784.08,10355.58,6.5
728835,UBD1242 ,196.94,4442.46,4701.54,6.5
a12f73,UAL1297 ,202.79,3954.78,4145.28,6.5
3420cc,IBE06CC ,215.88,7010.4,7437.12,6.18
